product_id,product_name,category_id,supplier_id,price,stock_quantity,is_active
1,Car Accessories Deluxe Lite,36,28,29837.14,282,0
2,Footwear Essential Max,18,15,28466.76,99,1
3,Premium Camping Gear,13,18,47263.85,390,1
4,Premium Furniture Max,7,15,1370.94,155,1
5,Footwear Item V1,18,36,11451.53,484,0
6,Furniture Item Max,7,31,16673.29,175,1
7,Women's Clothing Combo Pack V2,17,5,51973.2,38,1
8,Premium Lighting Max,10,6,50269.77,61,0
9,Tools Deluxe Plus,39,50,81773.54,231,1
10,Car Care Combo Pack Max,38,37,86412.78,313,1
11,Premium Ayurveda Plus,49,17,21662.88,81,1
12,Fitness Equipment Item Pro,11,29,26283.21,241,1
13,Accessories Essential,19,5,23882.46,474,1
14,Office Supplies Item Plus,28,42,74413.14,137,1
15,Action Camera 4K Max,4,39,82914.21,292,0
16,Home Decor Combo Pack Max,8,45,45091.45,140,0
17,Notebooks Item V1,29,28,22607.07,310,1
18,Yoga Deluxe V1,15,49,51903.6,138,1
19,Action Figures Deluxe,31,18,39285.06,300,0
20,Cookware Combo Pack Lite,6,27,9502.53,344,1
21,Haircare Combo Pack,22,19,73238.59,206,1
22,Art Supplies Item Lite,30,17,69551.06,497,1
23,Staples Deluxe,43,27,32622.96,266,0
24,Snacks Combo Pack V1,41,14,83496.78,68,0
25,Organic Foods Combo Pack V2,45,2,71957.3,312,1
26,Bags Deluxe V1,20,36,89302.92,116,1
27,Art Supplies Item V3,30,32,45846.59,150,1
28,Non-Fiction Combo Pack,27,16,34583.38,75,1
29,Kids Smartwatch Pro,5,22,24117.82,260,1
30,Accessories Essential,19,10,31125.64,248,0
31,Art Supplies Essential Plus,30,45,21096.26,197,0
32,Noise Cancelling Buds,3,46,34807.48,196,1
33,Board Games Item V3,32,33,78285.06,170,0
34,Furniture Deluxe,7,1,78395.87,210,1
35,Sports Watch Max,5,22,58519.32,204,1
36,Dairy Deluxe Pro,44,21,68369.22,455,1
37,Tyres Item Plus,40,41,89767.59,148,1
38,Office Supplies Item V2,28,29,81316.82,154,1
39,Skincare Item Max,21,23,22052.35,75,0
40,Premium Motorcycle Gear V3,37,12,34489.73,446,1
41,Board Games Deluxe V3,32,15,41414.39,131,1
42,Art Supplies Essential V3,30,5,88888.89,177,1
43,Snacks Combo Pack Max,41,30,89942.68,102,0
44,Premium Furniture Pro,7,37,89342.01,152,1
45,ChromeBook Lite Max,2,1,70069.21,352,1
46,Tools Combo Pack Max,39,50,72192.68,311,1
47,Premium Snacks Max,41,44,59359.42,393,1
48,Snacks Item V1,41,20,52202.69,18,1
49,Cookware Essential Lite,6,48,11980.17,103,1
50,Educational Toys Deluxe Max,34,11,84981.48,423,1
51,Personal Hygiene Essential V2,48,30,67897.22,73,1
52,Dairy Combo Pack Lite,44,6,23873.83,8,1
53,Art Supplies Essential Max,30,38,84631.24,327,1
54,Premium Dairy,44,2,50569.52,483,1
55,Beverages Item,42,45,10588.17,210,1
56,Noise Cancelling Buds,3,8,48424.44,455,0
57,Art Supplies Essential Pro,30,38,79697.7,80,1
58,Board Games Deluxe Pro,32,18,19631.54,190,0
59,Men's Clothing Essential V2,16,44,88007.04,462,1
60,Mirrorless Camera Max,4,13,76337.18,486,0
61,Premium Cookware V1,6,4,88994.0,125,1
62,AMOLED Smartwatch Plus,5,38,21045.58,446,1
63,Tools Item Max,39,10,22632.81,277,1
64,Home Decor Item V3,8,1,21489.05,404,1
65,Gaming Laptop X Max,2,4,47394.09,216,1
66,Action Figures Combo Pack Lite,31,33,45394.1,232,1
67,Medical Supplies Deluxe Max,47,30,5567.2,16,0
68,Fiction Combo Pack V2,26,32,6705.82,228,1
69,Skincare Deluxe V3,21,5,57012.6,320,1
70,Grooming Deluxe Max,25,30,9015.14,221,1
71,Beverages Deluxe Plus,42,28,37300.84,117,0
72,Fiction Combo Pack V2,26,21,23013.59,341,1
73,Dairy Combo Pack V2,44,6,38924.7,48,1
74,Storage & Organization Deluxe V1,9,38,29734.17,288,1
75,Non-Fiction Essential Pro,27,47,54075.87,148,1
76,Furniture Deluxe Plus,7,10,76269.01,115,1
77,Car Accessories Essential V2,36,49,72668.2,116,1
78,Tools Essential V1,39,12,27876.72,391,1
79,Makeup Item V3,23,10,6354.73,206,1
80,Cookware Deluxe Plus,6,25,14250.09,175,1
81,Medical Supplies Essential V2,47,4,55642.65,387,1
82,Footwear Combo Pack Pro,18,32,24656.7,213,1
83,Makeup Combo Pack V2,23,19,43847.28,304,1
84,Over-Ear Headphones Pro,3,39,27196.6,105,1
85,Premium Fitness Trackers Max,50,19,44813.94,4,0
86,Premium Cycling Pro,12,35,50328.25,257,1
87,Sports Watch V1,5,28,82911.5,0,1
88,Motorcycle Gear Combo Pack Pro,37,46,10453.09,149,1
89,Premium Skincare,21,45,39359.39,46,1
90,Men's Clothing Combo Pack Pro,16,34,27992.68,446,1
91,Yoga Essential V3,15,5,47800.37,59,1
92,Fitness Trackers Essential Lite,50,47,73370.83,331,1
93,Premium Furniture Max,7,13,68442.36,79,1
94,Cycling Combo Pack,12,49,40455.58,297,1
95,Snacks Essential V3,41,29,56860.52,227,1
96,Car Care Item Lite,38,33,40726.06,237,1
